Workload,Addr Mapping (str),Addr Mapping (idx),Sim Ticks,L2 Miss Latency,Read Reqs 0,Write Reqs 0,Read Row Hit Rate 0,Write Row Hit Rate 0,Row Hit Rate 0,Read Reqs 1,Write Reqs 1,Read Row Hit Rate 1,Write Row Hit Rate 1,Row Hit Rate 1,Bank Rd Burst CV 0,Bank Wr Burst CV 0,Bank Rd Burst CV 1,Bank Wr Burst CV 1,Requests 0,Requests 1,Request Ratio,Rank Act Ratio 0,Rank Act Ratio 1,Bank Burst CV 0,Bank Burst CV 1,Ctrl Num,Device Num,Switch Num
429.mcf-433.milc-434.zeusmp-445.gobmk,RoRaChBaCo,4,1.0006671349209597,153813.100817,50144353.0,23072179.0,52.46,51.45,52.15,54163705.0,25625113.0,51.23,52.32,51.58,0.06376257206846746,0.04790321654453867,0.07409767556427123,0.06812131697693308,73216532.0,79788818.0,1.089765054701034,1.0038670246177102,1.0078772490651582,0.05583289430650307,0.07110949627060215,2,1,0
429.mcf-434.zeusmp-445.gobmk-453.povray,RoRaChBaCo,4,0.9999183704851851,155656.313204,50985231.0,12810684.0,77.83,62.93,74.84,22586506.0,14653250.0,59.4,63.99,61.2,3.348317736076378,0.12662219387095128,0.08324259727140401,0.0934915729800532,63795915.0,37239756.0,1.713113131031256,1.1528224599586796,1.0082915281037432,1.7374699649736645,0.0883670851257286,2,1,0
434.zeusmp-445.gobmk-459.GemsFDTD-470.lbm,RoRaChBaCo,4,1.0045834630319235,153778.166282,55329364.0,35216949.0,53.34,67.4,58.81,55491820.0,35235025.0,53.5,68.0,59.13,0.013295489273870184,0.024906901172094043,0.01412198319730589,0.020281986022295546,90546313.0,90726845.0,1.0019938084060915,1.0006622819318933,1.0016251774866396,0.019101195222982113,0.017201984609800717,2,1,0
429.mcf-453.povray-459.GemsFDTD-470.lbm,RoRaChBaCo,4,1.0002133045923243,159350.296382,109676300.0,17706609.0,65.15,58.64,64.25,48035552.0,17827407.0,31.32,58.4,38.65,3.152313768785226,0.04037949407370843,0.0400176240957211,0.049257561703076706,127382909.0,65862959.0,1.934059916743188,1.0698832464466868,1.001886135329765,1.5963466314294672,0.044637592899398906,2,1,0
429.mcf-434.zeusmp-437.leslie3d-470.lbm,RoRaChBaCo,4,1.0003094827324905,154012.033126,64774370.0,28977120.0,49.68,56.37,51.75,69921827.0,29888935.0,50.76,55.92,52.31,0.06637790077712157,0.062479175680169606,0.07926039265486945,0.06490042974337666,93751490.0,99810762.0,1.0646312074613427,1.0016595845302367,1.0006551191787822,0.06442853822864558,0.07208041119912306,2,1,0
433.milc-434.zeusmp-445.gobmk-471.omnetpp,RoRaChBaCo,4,1.000008721947018,150737.638741,39240398.0,14016468.0,86.12,70.54,82.02,18576618.0,13967644.0,79.2,69.19,74.91,3.0156487884107968,0.13927072916894376,0.14803582553106215,0.13548496599368973,53256866.0,32544262.0,1.6364441141728763,1.0803663965726866,1.0066186106535469,1.5774597587898702,0.14176039576237592,2,1,0
429.mcf-433.milc-434.zeusmp-445.gobmk,RoChRaBaCo,18,1.0,152986.152846,51498856.0,23902254.0,50.78,52.37,51.28,52793315.0,24784691.0,53.26,52.28,52.95,0.053240956680159636,0.04941096420417358,0.09651858281217378,0.0965570342944953,75401110.0,77578006.0,1.0288708747125872,1.001287968973782,1.0092789940600442,0.05132596044216661,0.09653780855333455,2,1,0
429.mcf-434.zeusmp-437.leslie3d-470.lbm,RoChRaBaCo,18,1.0,153843.522839,66905619.0,29396413.0,50.78,55.92,52.35,67812720.0,29473159.0,49.81,55.89,51.65,0.06491463213220358,0.05587892191564588,0.09708609363625992,0.07405862075416406,96302032.0,97285879.0,1.0102162641801784,1.0053800016864878,1.0035591070035705,0.06039677702392473,0.08557235719521199,2,1,0
433.milc-434.zeusmp-445.gobmk-471.omnetpp,RoChRaBaCo,18,1.0,148408.675579,38880688.0,13540043.0,86.35,71.49,82.51,18945950.0,14441596.0,79.61,70.72,75.77,3.045040311026426,0.13258847830894302,0.15578161747643096,0.13443242669993638,52420731.0,33387546.0,1.5700684021521079,1.0736247409704123,1.0066351236583488,1.5888143946676845,0.14510702208818366,2,1,0
429.mcf-434.zeusmp-445.gobmk-453.povray,RoChRaBaCo,18,1.0,153796.744391,52340895.0,14036499.0,77.74,63.4,74.71,21251536.0,13451812.0,59.0,64.16,61.0,3.256838080088905,0.10963453611117313,0.13318169664602264,0.1420574702856747,66377394.0,34703348.0,1.9127086527789767,1.134440669344719,1.0140190660158244,1.683236308100039,0.13761958346584868,2,1,0
