Workload,Addr Mapping (str),Addr Mapping (idx),Sim Ticks,L2 Miss Latency,Read Reqs 0,Write Reqs 0,Read Row Hit Rate 0,Write Row Hit Rate 0,Row Hit Rate 0,Read Reqs 1,Write Reqs 1,Read Row Hit Rate 1,Write Row Hit Rate 1,Row Hit Rate 1,Bank Rd Burst CV 0,Bank Wr Burst CV 0,Bank Rd Burst CV 1,Bank Wr Burst CV 1,Requests 0,Requests 1,Request Ratio,Rank Act Ratio 0,Rank Act Ratio 1,Bank Burst CV 0,Bank Burst CV 1,Ctrl Num,Device Num,Switch Num
470.lbm,RoRaBaCoCh,0,1.022027426112336,1.0427389134106644,135450386.0,102065732.0,55.63,83.26,67.5,135391298.0,102007921.0,55.64,83.37,67.56,0.0017646207449770338,0.0015020295170443192,0.0016033297076841566,0.0013161360902638015,237516118.0,237399219.0,1.0004924152678025,1.0007116883126312,1.0005528392238263,0.0016333251310106764,0.001459732898973979,2,1,0
433.milc,RoRaBaCoCh,0,0.9994865469942671,0.991010735765198,53934049.0,14338214.0,81.01,53.02,75.11,36241514.0,14819396.0,73.94,54.86,68.38,0.050222724600455175,0.1032430072213362,0.04837362110279312,0.07586691263762885,68272263.0,51060910.0,1.3370749365806445,1.047001886457298,1.04452970808478,0.07673286591089569,0.06212026687021098,2,1,0
445.gobmk,RoRaBaCoCh,0,0.9842775779172475,0.9289686578500715,20295740.0,20911532.0,89.92,88.03,88.96,20286041.0,20905752.0,90.0,88.1,89.04,0.01433470050322652,0.015116387276349829,0.014518345599175338,0.0152140694038311,41207272.0,41191793.0,1.000375778738255,1.0172143693533835,1.0180520844129495,0.014725543889788174,0.01486620750150322,2,1,0
459.GemsFDTD,RoRaBaCoCh,0,1.0310689670793687,1.0466227278097062,43091937.0,20576415.0,35.14,75.57,48.21,43087793.0,20573438.0,35.15,75.79,48.28,0.01397578760295221,0.00507332327051517,0.013955642021295688,0.005002928091691623,63668352.0,63661231.0,1.0001118577176116,1.0016979385916545,1.0012255998005004,0.009524555436733691,0.009479285056493656,2,1,0
437.leslie3d,RoRaBaCoCh,0,1.0021951298507958,1.0081225781075913,39019034.0,21648952.0,78.92,79.9,79.27,39041141.0,21664117.0,78.89,79.95,79.27,0.14184244186309605,0.19352391428694835,0.1410465780451328,0.19314110873054258,60667986.0,60705258.0,1.0006143602657256,1.0546320829578584,1.0551667618383809,0.1676831780750222,0.16709384338783767,2,1,0
429.mcf,RoRaBaCoCh,0,1.0001120347435672,0.9978533974163194,60491680.0,8711625.0,16.55,61.48,22.21,60359033.0,8686997.0,16.32,61.58,22.03,0.0516251126412139,0.08847882083985446,0.05223889555220505,0.09024778770069669,69203305.0,69046030.0,1.0022778282835378,1.008938530744446,1.008881877238788,0.07005196674053418,0.07124334162645088,2,1,0
470.lbm,RoRaChBaCo,4,1.0,1.0,135423179.0,102043467.0,66.65,73.84,69.74,135418893.0,102030185.0,66.67,73.86,69.76,0.00071080970173695,0.0006584925336832519,0.0007692871085975818,0.00050452663116614,237466646.0,237449078.0,1.0000739863896209,1.0027863867361935,1.0027483694905681,0.0006846511177101009,0.0006369068698818609,2,1,0
437.leslie3d,RoRaChBaCo,4,1.0028464634306746,1.006811601330573,40277153.0,23906545.0,85.8,83.33,84.88,37784601.0,19407121.0,84.8,82.65,84.07,0.150764428287081,0.17616936627516036,0.14496590869031292,0.15757477513347246,64183698.0,57191722.0,1.1222550354402687,1.000048701706742,1.1063798426182798,0.16346689728112068,0.1512703419118927,2,1,0
459.GemsFDTD,RoRaChBaCo,4,1.0002929282327906,1.0018746627346977,43078937.0,20608830.0,53.3,79.38,61.74,43100445.0,20541034.0,53.05,79.72,61.66,0.014534565206729959,0.006002737271234263,0.014186646834438947,0.00504827111652903,63687767.0,63641479.0,1.0007273243916912,1.0018773610788207,1.0017072894113235,0.01026865123898211,0.00961745897548399,2,1,0
445.gobmk,RoRaChBaCo,4,1.0030192170923402,1.0119969029415354,20238735.0,20861742.0,90.93,88.54,89.72,20343746.0,20955572.0,90.93,88.89,89.89,0.017094065351712703,0.014625186760578796,0.014541385150170267,0.01776573400606574,41100477.0,41299318.0,1.0048379243871062,1.0400457189586736,1.08845140286294,0.01585962605614575,0.016153559578118003,2,1,0
429.mcf,RoRaChBaCo,4,1.0004402179657215,1.000661447082794,58325541.0,8308907.0,18.47,68.29,24.7,62524543.0,9089746.0,18.56,65.56,24.53,0.05201223735734249,0.11923207451577049,0.037607431717765545,0.12358509713861714,66634448.0,71614289.0,1.0747337323181547,1.0241698094356964,1.0051236342546812,0.08562215593655649,0.08059626442819134,2,1,0
433.milc,RoRaChBaCo,4,1.0008918180911421,1.0020290613324268,43956390.0,14100586.0,82.11,68.65,78.83,46222433.0,15057062.0,81.83,68.66,78.58,0.0457042139163949,0.07064751538641814,0.046001846176740364,0.1000122069225089,58056976.0,61279495.0,1.0555061462381368,1.0707527825765148,1.0827653721205917,0.05817586465140652,0.07300702654962463,2,1,0
470.lbm,RoBaChRaCo,10,1.0,1.0,135423179.0,102043467.0,66.65,73.84,69.74,135418893.0,102030185.0,66.67,73.86,69.76,0.00071080970173695,0.0006584925336832519,0.0007692871085975818,0.00050452663116614,237466646.0,237449078.0,1.0000739863896209,1.0027863867361935,1.0027483694905681,0.0006846511177101009,0.0006369068698818609,2,1,0
445.gobmk,RoBaChRaCo,10,1.0042740023754242,1.017257852652107,20351423.0,20933386.0,90.84,88.02,89.41,20233179.0,20884095.0,90.87,88.26,89.54,0.015938541950322568,0.01673524519740953,0.01564729516621831,0.016033568688276247,41284809.0,41117274.0,1.0040745648653653,1.0809644606917623,1.080245950504944,0.01633689357386605,0.015840431927247278,2,1,0
429.mcf,RoBaChRaCo,10,1.0000711525035284,0.9992915980609114,60480560.0,8707835.0,18.55,65.08,24.42,60369530.0,8690762.0,18.43,65.24,24.33,0.05481565063333098,0.12553861973946043,0.058419083159299695,0.1340351655970659,69188395.0,69060292.0,1.0018549443723754,1.0071056782261032,1.0078862782725864,0.0901771351863957,0.0962271243781828,2,1,0
437.leslie3d,RoBaChRaCo,10,1.002264881187877,1.004150085320031,39044172.0,21797620.0,85.76,83.5,84.95,39015441.0,21514938.0,85.8,83.68,85.04,0.16537523715198363,0.2057377889729912,0.13746389036212944,0.19198004649959133,60841792.0,60530379.0,1.0051447389747883,1.0211719374333936,1.0070182830497558,0.1855565130624874,0.1647219684308604,2,1,0
433.milc,RoBaChRaCo,10,1.0004030833003008,1.0006706914450179,44939778.0,14478525.0,82.03,67.84,78.57,45238735.0,14679077.0,81.92,68.04,78.51,0.04895845728890372,0.07142682246858381,0.054956954772732915,0.1104792048484368,59418303.0,59917812.0,1.0084066520715005,1.0055717035829204,1.003865084240192,0.060192639878743764,0.08271807981058486,2,1,0
459.GemsFDTD,RoBaChRaCo,10,1.0014489228561338,1.0007477985490938,43081513.0,20567768.0,52.86,78.34,61.1,43097792.0,20582084.0,52.84,78.7,61.2,0.0140045308397117,0.005625181483466932,0.014761462570859864,0.005916811911511434,63649281.0,63679876.0,1.0004806809993658,1.007185158534586,1.0038682392555585,0.009814856161589317,0.01033913724118565,2,1,0
429.mcf,RoChRaBaCo,18,1.0001373522544024,1.000361844579874,59435193.0,8455392.0,18.4,68.14,24.61,61415107.0,8943201.0,18.68,66.28,24.74,0.06691488311509224,0.13764213929097632,0.039010440489464684,0.11601877658717967,67890585.0,70358308.0,1.0363485305068443,1.0276321588289181,1.0003245850564693,0.10227851120303427,0.07751460853832218,2,1,0
433.milc,RoChRaBaCo,18,1.0000573004399917,1.0000671686778093,43829698.0,13838393.0,82.22,67.86,78.76,46348541.0,15319225.0,81.88,67.62,78.32,0.04776283155418669,0.05982162019842144,0.04137032763004272,0.09087821225826692,57668091.0,61667766.0,1.0693568129383717,1.0656790192885564,1.069983576969351,0.05379222587630406,0.06612426994415482,2,1,0
437.leslie3d,RoChRaBaCo,18,0.9999767877157106,1.0000480383222798,41937350.0,24072568.0,84.58,83.51,84.19,36123855.0,19240614.0,87.02,83.81,85.91,0.10938371340584319,0.16352937689326436,0.15693056152198212,0.1646764740280492,66009918.0,55364469.0,1.192279438280172,1.0525700206052895,1.1670257076158088,0.13645654514955377,0.16080351777501567,2,1,0
470.lbm,RoChRaBaCo,18,1.0,1.0,135423179.0,102043467.0,66.65,73.84,69.74,135418893.0,102030185.0,66.67,73.86,69.76,0.00071080970173695,0.0006584925336832519,0.0007692871085975818,0.00050452663116614,237466646.0,237449078.0,1.0000739863896209,1.0027863867361935,1.0027483694905681,0.0006846511177101009,0.0006369068698818609,2,1,0
445.gobmk,RoChRaBaCo,18,0.9996836676344936,0.9983377045303959,20434853.0,20989622.0,90.74,89.08,89.9,20146181.0,20827743.0,90.89,89.11,89.98,0.012870644663997012,0.01572331943465247,0.015846420000530055,0.016217189001546374,41424475.0,40973924.0,1.0109960422633673,1.0715051176188028,1.0664520899465877,0.014296982049324742,0.016031804501038215,2,1,0
